rows,w_epiplexity,w_price_change,w_srl_resid,w_topo_energy,mean_epiplexity,std_epiplexity,has_topo_energy
529324,0.02254396931976088,-0.7311478023980033,0.012882565008425408,-0.014701277800258709,0.6486384557552763,0.9429168326415349,1
1071994,0.029921616161374953,-0.5475338342713786,0.005886562072424944,-0.018888104774874858,0.6523270305650899,0.9352010759537694,1
1573451,0.029816035011601193,-0.4805644734756685,0.007789446327343612,-0.004153250115785724,0.6563426944954729,0.9290338398583683,1
2074606,0.02791447817856096,-0.4529307324996062,0.005822292290197478,-0.0036437715650043854,0.6572072907149378,0.9270332278028988,1
2624882,0.030109865903102512,-0.44483063240226145,0.0020741695403319054,-0.001795700634531587,0.6560496989046005,0.9281314943444434,1
3177570,0.03018470195436968,-0.43375203941761925,0.0010450600439160978,-0.001884040100153943,0.658216359018538,0.9238575609621289,1
3731435,0.02864416887116029,-0.41454965389389575,0.000877165593637411,0.000968319955380865,0.6614084564325193,0.9183106757850671,1
4277167,0.027453933899900106,-0.40138420485597004,-0.0010983574933386914,0.003354615393790738,0.6633746874654181,0.9154519000781371,1
4782269,0.02497242146563041,-0.38920232727403814,-0.002403950504248624,0.003360708228045995,0.6666758932113457,0.9102102035228644,1
5321398,0.024012097215766397,-0.3827819430630782,-0.0027299973605872645,0.0026061725653388733,0.6662340931861034,0.9096275963958804,1
5865551,0.023621984245711217,-0.3788390679757362,-0.003333282551251188,0.0026806041397869356,0.6643282248879779,0.9121119764185982,1
6406780,0.0237411371551519,-0.37346276753162966,-0.0045456867204709565,0.0016435187326986794,0.6633536623039565,0.9140124103875431,1
6955035,0.024419057440978924,-0.36270096254436224,-0.00505259396252235,0.0011907685868786163,0.6625354621863224,0.9158011570079448,1
7455596,0.024209755212223457,-0.358106460833807,-0.00584092558771838,0.0014492034221646405,0.6593494568136181,0.9208178216426565,1
7957705,0.02278684902554962,-0.35954247802105604,-0.006817564963294059,0.0014855544896382148,0.6562560077289239,0.9254047222489703,1
8464317,0.02281996200360503,-0.36190660508547684,-0.006384020315523597,0.002338600989401796,0.6556733667273307,0.925695126001291,1
8967886,0.020999261957713733,-0.3635582084888603,-0.007369718287466474,0.0038748235482640547,0.6543061062094863,0.9269528311128803,1
9493727,0.021245645103656955,-0.36571553011154523,-0.007747646912265635,0.006287658930835609,0.6540955979457638,0.9272631066889268,1
10028121,0.02183930792271613,-0.36340115872873735,-0.007787344827145608,0.006054279398394007,0.6503314003305245,0.9353522576613504,1
10529050,0.021359305340818285,-0.35821086447053035,-0.008968600375444391,0.006467543828702769,0.6441177541609935,0.9482627369139677,1
11074622,0.02097753251120844,-0.35665366681074223,-0.009402149805422595,0.0067891960911304824,0.6379155324438118,0.9606875182017779,1
11582516,0.020046285335675398,-0.35605113993660237,-0.010361389112759896,0.00668405101338692,0.6329031701981721,0.970835628160388,1
12101360,0.020141198724928828,-0.3530764188722069,-0.010025390492278819,0.005979825275346098,0.6292764700575348,0.9790812815853753,1
12610270,0.020751298521895886,-0.3500794366719524,-0.010374719857648748,0.007019223009505282,0.6259833829074563,0.9861051424403333,1
13162512,0.02039140719822489,-0.3531365921001161,-0.011238898833990032,0.007214335722292657,0.6228494438909981,0.9921522408646982,1
