coef,n,pos_ratio,neg_ratio,min,max,final
w_epiplexity,57,1.000000,0.000000,0.010927713914,0.0301847019544,0.0135537415545
w_price_change,57,0.000000,1.000000,-0.731147802398,-0.34954516315,-0.357559898902
w_srl_resid,57,0.122807,0.877193,-0.014563025632,0.0128825650084,-0.0139931145288
w_topo_energy,57,0.894737,0.105263,-0.0188881047749,0.0178173672484,0.0177903929071
