file,p_up,signal,position,return,cost,pnl,cum_pnl,peak,dd
002519.csv,0.6811751876589498,1.0,1.0,0.010226982848431154,0.0006127899322130053,0.009614192916218149,0.009614192916218149,0.009614192916218149,0.0
002519.csv,0.62663098619374,1.0,1.0,-0.008050597959662564,0.0024082199361726685,-0.010458817895835233,-0.000844624979617084,0.009614192916218149,-0.010458817895835233
002519.csv,0.44822751312941117,-1.0,-0.36787944117144233,0.02266058784710867,0.0005029135887468276,-0.008839277982557544,-0.009683902962174628,0.009614192916218149,-0.019298095878392776
002519.csv,0.4489881151451363,-1.0,-0.36787944117144233,-0.011412112165690713,0.00018978413842996055,0.004008497307670157,-0.00567540565450447,0.009614192916218149,-0.01528959857072262
002519.csv,0.44316929037767216,-1.0,-0.5488116360940265,-0.0006541897448173462,0.00018246006432459937,0.00017656687984454208,-0.005498838774659928,0.009614192916218149,-0.015113031690878076
002519.csv,0.44267754278553634,-1.0,-0.44932896411722156,0.0038346068450836324,0.00041702973014635426,-0.0021400296516445897,-0.007638868426304518,0.009614192916218149,-0.017253061342522667
002519.csv,0.4301118036187925,-1.0,-0.36787944117144233,0.03673935008305129,0.0004199759195554093,-0.013935627497110302,-0.02157449592341482,0.009614192916218149,-0.031188688839632966
002519.csv,0.43176356821623313,-1.0,-0.36787944117144233,0.03372337376535306,0.00015769491975466072,-0.012563830814968424,-0.03413832673838324,0.009614192916218149,-0.04375251965460139
002519.csv,0.41730743567665407,-1.0,-0.36787944117144233,0.02182418970470934,0.00027505412630151563,-0.008303724838889534,-0.04244205157727277,0.009614192916218149,-0.05205624449349092
002519.csv,0.5688061337077966,1.0,0.8651714477432055,-0.03150331455939703,0.00024492408758994413,-0.02750069235365308,-0.06994274393092585,0.009614192916218149,-0.079556936847144
002519.csv,0.55509436904266,1.0,1.0,-0.04908378009010117,0.0023066944759492385,-0.051390474566050406,-0.12133321849697626,0.009614192916218149,-0.1309474114131944
002519.csv,0.5919257574373337,1.0,1.0,-0.05212109080396221,0.0036067388088120347,-0.05572782961277425,-0.1770610481097505,0.009614192916218149,-0.18667524102596866
002519.csv,0.5669673738208585,1.0,0.5488116360940265,0.06717380566363218,0.0021907278310680594,0.0346750383578521,-0.1423860097518984,0.009614192916218149,-0.15200020266811656
002519.csv,0.6068389937098472,1.0,0.8187307530779818,0.09106828073582096,0.004536478456107472,0.0700239236122483,-0.07236208613965012,0.009614192916218149,-0.08197627905586827
002519.csv,0.5966368182107543,1.0,0.5488116360940265,-0.0008671911840287816,0.0032616627980525076,-0.0037375874105656593,-0.07609967355021578,0.009614192916218149,-0.08571386646643393
002519.csv,0.5939402638779832,1.0,0.36787944117144233,0.0025893735803748097,0.0022460639737001847,-0.001293486667967803,-0.07739316021818358,0.009614192916218149,-0.08700735313440174
002519.csv,0.6097927144913329,1.0,0.36787944117144233,-0.006266329951989613,0.002302247758987338,-0.004607501719921149,-0.08200066193810474,0.009614192916218149,-0.09161485485432289
002519.csv,0.5958411341479409,1.0,0.5488116360940265,-0.04188115095108347,0.003288691974116658,-0.026273554949081672,-0.10827421688718641,0.009614192916218149,-0.11788840980340456
002519.csv,0.6176590010728991,1.0,0.5819450157646893,-0.010443766662713516,0.003269564403264721,-0.009347262358440274,-0.11762147924562669,0.009614192916218149,-0.12723567216184484
002519.csv,0.5871256631669959,1.0,0.5488116360940265,-0.0019198170813834459,0.002881451027259318,-0.003935068980694625,-0.12155654822632131,0.009614192916218149,-0.13117074114253946
002519.csv,0.5897006257032028,1.0,0.5488116360940265,-0.02811489211718432,0.002996266865152206,-0.01842604680659118,-0.1399825950329125,0.009614192916218149,-0.14959678794913064
002519.csv,0.6261568016501935,1.0,1.0,-0.06397295703814643,0.005033022808195916,-0.06900597984634234,-0.20898857487925482,0.009614192916218149,-0.21860276779547297
002519.csv,0.5948453148436429,1.0,1.0,-0.02704312007214793,0.004422073631230404,-0.03146519370337834,-0.24045376858263315,0.009614192916218149,-0.2500679614988513
002519.csv,0.5874863492761427,1.0,1.0,0.0792164560946087,0.004457105809460042,0.07475935028514866,-0.1656944182974845,0.009614192916218149,-0.17530861121370264
002519.csv,0.5946776836205694,1.0,1.0,0.07398039085900554,0.0036927653818665867,0.07028762547713896,-0.09540679282034553,0.009614192916218149,-0.10502098573656368
002519.csv,0.5618616595561597,1.0,1.0,0.07290752407404,0.003478355734834457,0.06942916833920554,-0.025977624481139994,0.009614192916218149,-0.035591817397358144
002519.csv,0.5973143422108936,1.0,1.0,-0.034752414042765745,0.0023801838351776147,-0.03713259787794336,-0.06311022235908335,0.009614192916218149,-0.0727244152753015
002519.csv,0.5916851084332576,1.0,1.0,-0.040696603399065445,0.0019360976829571846,-0.04263270108202263,-0.10574292344110597,0.009614192916218149,-0.11535711635732412
002519.csv,0.5804704156185254,1.0,1.0,-0.01578003942455486,0.0006719240307654658,-0.016451963455320327,-0.1221948868964263,0.009614192916218149,-0.13180907981264445
